wvl_nm,polarization_pct
4.200000000000000000e+02,3.723958333333333570e+01
4.433333333333333144e+02,3.401041666666666430e+01
4.666666666666666856e+02,3.080729166666666785e+01
4.900000000000000000e+02,2.776041666666666785e+01
5.133333333333333712e+02,2.479166666666666785e+01
5.366666666666666288e+02,2.177083333333333215e+01
5.600000000000000000e+02,1.916666666666666785e+01
5.833333333333332575e+02,1.708333333333333215e+01
6.066666666666666288e+02,1.515625000000000000e+01
6.300000000000000000e+02,1.398437500000000000e+01
6.533333333333332575e+02,1.270833333333333393e+01
6.766666666666666288e+02,1.187500000000000000e+01
7.000000000000000000e+02,1.067708333333333393e+01
7.233333333333332575e+02,9.895833333333333925e+00
7.466666666666666288e+02,8.541666666666666075e+00
7.700000000000000000e+02,7.812500000000000000e+00
7.933333333333332575e+02,7.343750000000000000e+00
8.166666666666666288e+02,7.239583333333333037e+00
8.400000000000000000e+02,6.562500000000000000e+00
8.633333333333332575e+02,6.145833333333333037e+00
8.866666666666666288e+02,5.937500000000000000e+00
9.100000000000000000e+02,6.197916666666666963e+00
9.333333333333332575e+02,7.187500000000000000e+00
9.566666666666666288e+02,6.614583333333333037e+00
9.800000000000000000e+02,5.260416666666666963e+00
