wvl_nm,reflectance
4.200000000000000000e+02,7.717678100263852814e-02
4.433333333333333144e+02,7.381266490765170385e-02
4.666666666666666856e+02,7.084432717678099123e-02
4.900000000000000000e+02,6.787598944591027861e-02
5.133333333333333712e+02,6.490765171503956599e-02
5.366666666666666288e+02,6.174142480211081141e-02
5.600000000000000000e+02,5.936675461741424548e-02
5.833333333333332575e+02,5.659630606860158175e-02
6.066666666666666288e+02,5.857519788918205683e-02
6.300000000000000000e+02,5.986147757255935731e-02
6.533333333333332575e+02,6.292875989445909091e-02
6.766666666666666288e+02,6.550131926121371961e-02
7.000000000000000000e+02,6.589709762532980353e-02
7.233333333333332575e+02,6.372031662269128649e-02
7.466666666666666288e+02,7.460422163588389943e-02
7.700000000000000000e+02,7.569261213720315795e-02
7.933333333333332575e+02,7.420844327176781552e-02
8.166666666666666288e+02,6.530343007915567766e-02
8.400000000000000000e+02,7.420844327176781552e-02
8.633333333333332575e+02,7.658311345646437451e-02
8.866666666666666288e+02,7.579155672823217893e-02
9.100000000000000000e+02,5.906992084432717560e-02
9.333333333333332575e+02,3.423482849604221612e-02
9.566666666666666288e+02,3.918205804749340382e-02
9.800000000000000000e+02,6.391820580474932845e-02
